TaxonName,RBL,IUCN,Percent_vert,Percent_nonvert,Diet,Diet_diversity,Body_size,Diet_breadth,Museum_Pub,N,Notes,Invert,Scav,Fruit,Nect,Seed,Plant,Vert,Diet_old,Diet_vert
Canis_mesomelas,0.66,LC,60,40,meso,4,8500.02,,VV1989,2,,1,1,0,0,0,1,1,Meso,meso
Viverra_megaspila,0.66,EN,70,30,meso,4,9250,,VV1989,2,"Used VV 1989, Slater 2019 does not seem to have sample size",1,0,1,0,0,1,1,Meso,hyper
Canis_latrans,0.66,LC,100,0,hyper,2,13406.33,,VV1989,2,,0,1,0,0,0,0,1,Hyper,hyper
Canis_simensis,0.664,EN,100,0,hyper,1,10000,,Balisi2018,U,,0,0,0,0,0,0,1,Hyper,hyper
Vulpes_bengalensis,0.666,LC,60,40,meso,3,2726,,Friscia2007,7,,1,0,1,0,0,0,1,Meso,meso
Canis_lupaster,0.667699756,LC,80,20,hyper,0,NA,,FMNH,XXXX,"measured from FMNH specimens; previously C. aureus sbsp, using C. aureus diet",,,,,,,,Meso,hyper
Genetta_piscivora,0.6695253,NT,100,0,hyper,1,1648.05,,Van Rompaey (1988). Osbornictis piscivora. Mammalian Species. 309: 1-4.,1,measured from image in manuscript,0,0,0,0,0,0,1,Hyper,hyper
Martes_zibellina,0.6720664,LC,80,20,hyper,3,1130,,Slater&Friscia2019,U,,0,0,1,0,1,0,1,Meso,hyper
Genetta_pardina,0.6753606,LC,70,30,meso,3,1821.97,,Slater&Friscia2019,U,,1,0,1,0,0,0,1,Meso,hyper
Vulpes_rueppellii,0.677,LC,60,40,meso,3,3249.97,,Friscia2007,10,,1,0,0,0,0,1,1,Meso,meso
Vulpes_velox,0.6788068,LC,90,10,hyper,2,2197.51,,Slater&Friscia2019,U,,1,0,0,0,0,0,1,Hyper,hyper
Mustela_strigidorsa,0.6797101,LC,100,0,hyper,1,1500,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Lycalopex_culpaeus,0.68,LC,80,20,hyper,3,8616.24,,VV1989,2,,1,0,1,0,0,0,1,Meso,hyper
